Vote,rank1,rank2,rank3,rank4,rank5,rank6
1141,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,RANDALL FOX,ANTHONY CHARLES,MIKE MCCURDY
1142,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1143,LUKE WOJCIECHOWSKI,JOSIE KOVASH,RANDALL FOX,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR
1144,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1145,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
1146,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped
1147,JOSIE KOVASH,skipped,skipped,skipped,skipped,overvote
1148,skipped,skipped,skipped,skipped,skipped,skipped
1149,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI,RANDALL FOX,MIKE MCCURDY,JASON TAYLOR
1150,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,skipped,skipped,skipped
1151,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1152,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX
1153,JASON TAYLOR,LUKE WOJCIECHOWSKI,RANDALL FOX,skipped,skipped,JOSIE KOVASH
1154,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped
1155,JOSIE KOVASH,RANDALL FOX,MIKE MCCURDY,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JASON TAYLOR
1156,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH
1157,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,LUKE WOJCIECHOWSKI,JOSIE KOVASH
1158,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JOSIE KOVASH,RANDALL FOX
1159,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,RANDALL FOX
1160,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1161,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped
1162,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,ANTHONY CHARLES
1163,JASON TAYLOR,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped
1164,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1165,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,skipped
1166,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX,JASON TAYLOR
1167,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1168,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX
1169,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,RANDALL FOX,ANTHONY CHARLES,JOSIE KOVASH
1170,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,skipped
1171,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1172,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX
1173,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1174,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,RANDALL FOX
1175,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,RANDALL FOX,ANTHONY CHARLES
1176,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,RANDALL FOX,JASON TAYLOR
1177,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1178,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped
1179,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR
1180,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,JOSIE KOVASH,LUKE WOJCIECHOWSKI
1181,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,JOSIE KOVASH,skipped,ANTHONY CHARLES
1182,JASON TAYLOR,MIKE MCCURDY,JOSIE KOVASH,skipped,ANTHONY CHARLES,LUKE WOJCIECHOWSKI
1183,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,skipped,LUKE WOJCIECHOWSKI,JOSIE KOVASH
1184,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,skipped
1185,JASON TAYLOR,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,MIKE MCCURDY
1186,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,ANTHONY CHARLES
1187,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped
1188,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1189,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,ANTHONY CHARLES,skipped
1190,JASON TAYLOR,JOSIE KOVASH,skipped,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,MIKE MCCURDY
1191,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,MIKE MCCURDY,ANTHONY CHARLES
1192,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped
1193,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped
1194,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,JOSIE KOVASH
1195,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,JASON TAYLOR,MIKE MCCURDY
1196,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1197,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1198,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1199,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1200,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,skipped,JASON TAYLOR
1201,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1202,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,skipped,skipped
1203,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,ANTHONY CHARLES,MIKE MCCURDY
1204,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR
1205,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,JOSIE KOVASH,LUKE WOJCIECHOWSKI
1206,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1207,MIKE MCCURDY,JASON TAYLOR,skipped,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JOSIE KOVASH
1208,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,JOSIE KOVASH,ANTHONY CHARLES
1209,MIKE MCCURDY,JASON TAYLOR,skipped,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES
1210,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,skipped,skipped
1211,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,JOSIE KOVASH
1212,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1213,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,skipped,ANTHONY CHARLES
1214,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,skipped,skipped
1215,skipped,LUKE WOJCIECHOWSKI,JASON TAYLOR,overvote,skipped,JOSIE KOVASH
1216,MIKE MCCURDY,JASON TAYLOR,skipped,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES
1217,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1218,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1219,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped
1220,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped
1221,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped
1222,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,skipped,skipped
1223,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,skipped,JASON TAYLOR
1224,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1225,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1226,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1227,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1228,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped
1229,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,skipped
1230,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
1231,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1232,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,skipped,skipped
1233,JASON TAYLOR,MIKE MCCURDY,skipped,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH
1234,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1235,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1236,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped
1237,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
1238,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1239,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1240,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped
1241,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1242,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1243,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR
1244,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1245,JASON TAYLOR,MIKE MCCURDY,skipped,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES
1246,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1247,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,skipped,MIKE MCCURDY
1248,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,skipped
1249,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped
1250,skipped,skipped,skipped,skipped,skipped,skipped
1251,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped
1252,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,skipped,LUKE WOJCIECHOWSKI,ANTHONY CHARLES
1253,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped
1254,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped
1255,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1256,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1257,MIKE MCCURDY,MIKE MCCURDY,MIKE MCCURDY,MIKE MCCURDY,MIKE MCCURDY,MIKE MCCURDY
1258,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped
1259,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1260,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
1261,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,JOSIE KOVASH
1262,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped
1263,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1264,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1265,JASON TAYLOR,MIKE MCCURDY,skipped,JOSIE KOVASH,ANTHONY CHARLES,LUKE WOJCIECHOWSKI
1266,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,JASON TAYLOR,skipped,skipped
1267,JOSIE KOVASH,skipped,skipped,skipped,skipped,skipped
1268,JOSIE KOVASH,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,skipped
1269,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped
1270,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1271,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1272,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,ANTHONY CHARLES
1273,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,skipped,MIKE MCCURDY
1274,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped
1275,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped
1276,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1277,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1278,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
1279,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,skipped,JASON TAYLOR
1280,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR
1281,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,JASON TAYLOR,skipped,ANTHONY CHARLES
1282,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1283,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1284,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1285,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,skipped,JASON TAYLOR
1286,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1287,MIKE MCCURDY,skipped,skipped,skipped,skipped,skipped
1288,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,JASON TAYLOR,MIKE MCCURDY
1289,MIKE MCCURDY,MIKE MCCURDY,MIKE MCCURDY,MIKE MCCURDY,MIKE MCCURDY,MIKE MCCURDY
1290,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1291,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped
1292,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,skipped
1293,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1294,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1295,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,skipped,skipped
1296,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1297,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped
1298,overvote,skipped,skipped,skipped,skipped,skipped
1299,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,skipped,ANTHONY CHARLES
1300,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,skipped,ANTHONY CHARLES
1301,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1302,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,skipped,ANTHONY CHARLES
1303,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1304,JOSIE KOVASH,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,skipped,MIKE MCCURDY,JASON TAYLOR
1305,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1306,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped
1307,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1308,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped
1309,overvote,skipped,skipped,skipped,skipped,skipped
1310,JOSIE KOVASH,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
1311,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1312,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,LUKE WOJCIECHOWSKI,JOSIE KOVASH
1313,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,skipped,skipped
1314,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped
1315,JASON TAYLOR,MIKE MCCURDY,skipped,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI
1316,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped
1317,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,skipped,skipped
1318,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1319,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1320,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JOSIE KOVASH,skipped
1321,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR
1322,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1323,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped
1324,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1325,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1326,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1327,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped,skipped
1328,JOSIE KOVASH,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
1329,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped
1330,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1331,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1332,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,skipped,skipped,skipped
1333,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1334,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped
1335,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1336,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,skipped,JASON TAYLOR
1337,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,skipped
1338,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,skipped,JASON TAYLOR
1339,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,skipped
1340,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
1341,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1342,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,ANTHONY CHARLES,MIKE MCCURDY,JOSIE KOVASH
1343,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,skipped
1344,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,skipped,MIKE MCCURDY
1345,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,LUKE WOJCIECHOWSKI,JOSIE KOVASH
1346,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped
1347,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped
1348,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,skipped,skipped
1349,JASON TAYLOR,MIKE MCCURDY,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,ANTHONY CHARLES
1350,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1351,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1352,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1353,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped
1354,JASON TAYLOR,MIKE MCCURDY,skipped,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES
1355,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1356,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,skipped
1357,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,skipped,skipped
1358,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped
1359,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
1360,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1361,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1362,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,skipped,MIKE MCCURDY
1363,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,skipped,JASON TAYLOR
1364,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1365,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,skipped,ANTHONY CHARLES
1366,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,skipped,skipped
1367,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,JOSIE KOVASH,ANTHONY CHARLES
1368,JOSIE KOVASH,JOSIE KOVASH,skipped,skipped,skipped,skipped
1369,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1370,MIKE MCCURDY,skipped,skipped,skipped,skipped,skipped
1371,MIKE MCCURDY,skipped,skipped,skipped,skipped,skipped
1372,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped
1373,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped
1374,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped
1375,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,JOSIE KOVASH,LUKE WOJCIECHOWSKI
1376,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,skipped
1377,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,JOSIE KOVASH,ANTHONY CHARLES
1378,overvote,skipped,skipped,skipped,skipped,skipped
1379,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,skipped,ANTHONY CHARLES
1380,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped
1381,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,LUKE WOJCIECHOWSKI,JOSIE KOVASH
1382,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped
1383,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1384,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped
1385,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1386,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped
1387,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped
1388,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,skipped
1389,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,skipped
1390,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,JOSIE KOVASH,skipped
1391,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,skipped
